year,country_name,ai_readiness_index,ranking
2025,Afghanistan,15.72,188
2025,Albania,43.44,85
2025,Algeria,42.05,89
2025,Andorra,41.51,92
2025,Angola,27.09,141
2025,Antigua and Barbuda,25.04,147
2025,Argentina,58.25,56
2025,Armenia,38.95,103
2025,Australia,75.73,9
2025,Austria,69.72,20
2025,Azerbaijan,51.91,69
2025,Bahamas,31.18,123
2025,Bahrain,59.57,48
2025,Bangladesh,48.37,75
2025,Barbados,23.33,155
2025,Belarus,32.47,121
2025,Belgium,65.17,30
2025,Belize,22.68,158
2025,Benin,41.71,90
2025,Bhutan,39.38,101
2025,Bolivia (Plurinational State of),27.48,139
2025,Bosnia and Herzegovina,35.67,114
2025,Botswana,37.1,109
2025,Brazil,69.55,22
2025,Brunei Darussalam,40.51,97
2025,Bulgaria,56.6,59
2025,Burkina Faso,29.45,127
2025,Burundi,17.22,185
2025,Cabo Verde,32.16,122
2025,Cambodia,33.91,118
2025,Cameroon,34.91,116
2025,Canada,74.66,12
2025,Central African Republic,12.8,192
2025,Chad,18.31,182
2025,Chile,59.3,50
2025,China,76.27,8
2025,Colombia,56.02,64
2025,Comoros,20.67,171
2025,Congo,18.6,178
2025,Costa Rica,45.92,79
2025,Côte D'Ivoire,40.74,95
2025,Croatia,49.79,72
2025,Cuba,27.92,136
2025,Cyprus,59.71,47
2025,Czechia,64.56,32
2025,Democratic People's Republic of Korea,21.15,167
2025,Democratic Republic of the Congo,25.62,144
2025,Denmark,74.75,11
2025,Djibouti,24.52,148
2025,Dominica,19.76,174
2025,Dominican Republic,43.73,84
2025,Ecuador,53.04,66
2025,Egypt,59.1,52
2025,El Salvador,38.88,104
2025,Equatorial Guinea,16.18,187
2025,Eritrea,12.7,193
2025,Estonia,69.56,21
2025,Eswatini,27.7,137
2025,Ethiopia,41.58,91
2025,Fiji,37.26,108
2025,Finland,70.3,18
2025,France,80.81,2
2025,Gabon,28.41,133
2025,Gambia (Republic of The),23.64,153
2025,Georgia,42.75,87
2025,Germany,76.78,6
2025,Ghana,47.42,78
2025,Greece,60.51,42
2025,Grenada,19.36,176
2025,Guatemala,29.34,129
2025,Guinea,17.81,183
2025,Guinea Bissau,12.12,195
2025,Guyana,25.47,146
2025,Haiti,14.94,190
2025,Honduras,22.96,157
2025,Hungary,63.17,35
2025,Iceland,60.49,44
2025,India,66.55,27
2025,Indonesia,59.87,46
2025,Iran (Islamic Republic of),48.34,76
2025,Iraq,29.37,128
2025,Ireland,70.58,17
2025,Israel,71.32,16
2025,Italy,68.81,25
2025,Jamaica,40.09,99
2025,Japan,72.24,14
2025,Jordan,56.07,63
2025,Kazakhstan,56.7,58
2025,Kenya,52.55,68
2025,Kiribati,23.9,150
2025,Kuwait,43.79,83
2025,Kyrgyzstan,33.28,119
2025,Lao People's Democratic Republic,29.92,125
2025,Latvia,59.14,51
2025,Lebanon,34.26,117
2025,Lesotho,28.95,131
2025,Liberia,15.65,189
2025,Libya,28.38,134
2025,Liechtenstein,40.19,98
2025,Lithuania,65.31,29
2025,Luxembourg,64.28,33
2025,Madagascar,20.93,168
2025,Malawi,24.22,149
2025,Malaysia,62.34,38
2025,Maldives,26.39,143
2025,Mali,23.78,152
2025,Malta,61.48,39
2025,Marshall Islands,18.92,177
